id,title,common_name,genre,year,language,path
695,Nobody Knows You When You're down and Out,Jimmie Cox,Rock,1903,English,dataset/Jimmie_Cox/Nobody_Knows_You_When_You're_down_and_Out/Nobody_Knows_You_When_You're_down_and_Out.mxl
697,"Ma, He's Making Eyes at Me",Con Conrad,Pop,1921,English,"dataset/Con_Conrad-Sidney_Clare/Ma,_He's_Making_Eyes_at_Me/Ma,_He's_Making_Eyes_at_Me.mxl"
726,Kiss Me Again,Victor Herbert,Pop,1905,English,dataset/Henry_Blossom-Victor_Herbert/Kiss_Me_Again/Kiss_Me_Again.mxl
744,Chinatown My Chinatown,William Jerome,Pop,1914,English,dataset/Jean_Schwartz-William_Jerome/Chinatown_My_Chinatown/Chinatown_My_Chinatown.mxl
750,Missouri Waltz,John V. Eppel,Rock,,English,dataset/Frederic_Knight_Logan-James_Royce_Shannon-John_V._Eppel/Missouri_Waltz/Missouri_Waltz.mxl
767,Carioca,Vincent Youmans,Pop,1933,English,dataset/Edward_Eliscu-Gus_Kahn-Vincent_Youmans/Carioca/Carioca.mxl
771,Fascinating Rhythm,George Gershwin,Pop,1924,English,dataset/George_Gershwin-Ira_Gershwin/Fascinating_Rhythm/Fascinating_Rhythm.mxl
773,Moonlight and Roses,Charles N. Daniels,Pop,1925,English,dataset/Ben_Black-Charles_N._Daniels/Moonlight_and_Roses/Moonlight_and_Roses.mxl
797,Hard Times Come Again No More,Stephen Foster,"Folk, World, & Country",1845,English,dataset/Stephen_Foster/Hard_Times_Come_Again_No_More/Hard_Times_Come_Again_No_More.mxl
799,Till We Meet Again,Richard A. Whiting,Pop,1914,English,dataset/Raymond_B._Egan-Richard_A._Whiting/Till_We_Meet_Again/Till_We_Meet_Again.mxl
803,Jingle Bells,James Pierpont,Pop,1857,English,dataset/James_Pierpont/Jingle_Bells/Jingle_Bells.mxl
806,My Wild Irish Rose,Chauncey Olcott,Pop,1899,English,dataset/Chauncey_Olcott/My_Wild_Irish_Rose/My_Wild_Irish_Rose.mxl
820,"Nearer, My God, to Thee",Sarah Flower Adams,Rock,1826,English,"dataset/Eliza_Flower-Sarah_Flower_Adams/Nearer,_My_God,_to_Thee/Nearer,_My_God,_to_Thee.mxl"
834,My Buddy,Walter Donaldson,Pop,1922,English,dataset/Gus_Kahn-Walter_Donaldson/My_Buddy/My_Buddy.mxl
843,Peg O' My Heart,Fred Fisher,Pop,1908,English,dataset/Alfred_Bryan-Fred_Fisher/Peg_O'_My_Heart/Peg_O'_My_Heart.mxl
851,The Prisoner's Song,[Traditional],Rock,1924,English,dataset/[Traditional]/The_Prisoner's_Song/The_Prisoner's_Song.mxl
862,Funiculì funiculà,Peppino Turco,Rock,1874,Italian,dataset/Luigi_Denza-Peppino_Turco/Funiculì_funiculà/Funiculì_funiculà.mxl
900,I Want a Girl (Just Like the Girl That Married Dear Old Dad),Harry Von Tilzer,Pop,1911,English,dataset/Harry_Von_Tilzer-Will_Dillon/I_Want_a_Girl_(Just_Like_the_Girl_That_Married_Dear_Old_Dad)/I_Want_a_Girl_(Just_Like_the_Girl_That_Married_Dear_Old_Dad).mxl
908,Isle of Capri,Hugh Williams,Pop,1934,English,dataset/Hugh_Williams-Jimmy_Kennedy/Isle_of_Capri/Isle_of_Capri.mxl
918,Sweet and Lovely,Charles N. Daniels,Pop,1931,English,dataset/Charles_N._Daniels-Gus_Arnheim-Harry_Tobias/Sweet_and_Lovely/Sweet_and_Lovely.mxl
973,I Got Rhythm,George Gershwin,Pop,1930,English,dataset/George_Gershwin-Ira_Gershwin/I_Got_Rhythm/I_Got_Rhythm.mxl
978,Le temps des cerises,Antoine Renard,Rock,1848,French,dataset/Antoine_Renard/Le_temps_des_cerises/Le_temps_des_cerises.mxl
1010,Sweet Hour of Prayer,William W. Walford,"Folk, World, & Country",,English,dataset/William_W._Walford/Sweet_Hour_of_Prayer/Sweet_Hour_of_Prayer.mxl
1041,You Call It Madness (But I Call It Love),Russ Columbo,Pop,1931,English,dataset/Con_Conrad-Gladys_du_Bois-Paul_Gregory-Russ_Columbo/You_Call_It_Madness_(But_I_Call_It_Love)/You_Call_It_Madness_(But_I_Call_It_Love).mxl
1055,Were You There When They Crucified My Lord,[Traditional],Rock,,English,dataset/[Traditional]/Were_You_There_When_They_Crucified_My_Lord/Were_You_There_When_They_Crucified_My_Lord.mxl
1093,The Black Velvet Band,[Traditional],"Folk, World, & Country",,English,dataset/[Traditional]/The_Black_Velvet_Band/The_Black_Velvet_Band.mxl
1100,La Marseillaise,Claude Joseph Rouget de Lisle,"Folk, World, & Country",1798,French,dataset/Claude_Joseph_Rouget_de_Lisle/La_Marseillaise/La_Marseillaise.mxl
1110,Aloha Oe,Liliuokalani,"Folk, World, & Country",1904,English,dataset/Liliuokalani/Aloha_Oe/Aloha_Oe.mxl
1116,Life's Railway to Heaven,Charles D. Tillman,Pop,1921,English,dataset/Charles_D._Tillman-M.E._Abbey/Life's_Railway_to_Heaven/Life's_Railway_to_Heaven.mxl
1126,"Satan, Your Kingdom Must Come Down",[Traditional],Rock,,English,"dataset/[Traditional]/Satan,_Your_Kingdom_Must_Come_Down/Satan,_Your_Kingdom_Must_Come_Down.mxl"
1131,Are You Lonesome Tonight?,Roy Turk,Rock,1927,English,dataset/Lou_Handman-Roy_Turk/Are_You_Lonesome_Tonight?/Are_You_Lonesome_Tonight?.mxl
1152,The Song Is You,Jerome Kern,Pop,1932,English,dataset/Jerome_Kern-Oscar_Hammerstein_II/The_Song_Is_You/The_Song_Is_You.mxl
1168,The Glory of Love,Billy Hill,Pop,1936,English,dataset/Billy_Hill/The_Glory_of_Love/The_Glory_of_Love.mxl
1178,Calon Lân,John Hughes [1],Pop,1893,Welsh,dataset/John_Hughes_[1]/Calon_Lân/Calon_Lân.mxl
1185,Ave Maria,Charles Gounod,Pop,1855,,dataset/Charles_Gounod/Ave_Maria/Ave_Maria.mxl
1208,What Child Is This?,William Chatterton Dix,Pop,1867,English,dataset/William_Chatterton_Dix/What_Child_Is_This?/What_Child_Is_This?.mxl
1218,"Bill Bailey, Won't You Please Come Home?",Hughie Cannon,Rock,1894,English,"dataset/Hughie_Cannon/Bill_Bailey,_Won't_You_Please_Come_Home?/Bill_Bailey,_Won't_You_Please_Come_Home?.mxl"
1254,School Days,Will Cobb,Rock,1907,English,dataset/Gus_Edwards-Will_Cobb/School_Days/School_Days.mxl
1293,By the Light of the Silvery Moon,Gus Edwards,Rock,1909,English,dataset/Edward_Madden-Gus_Edwards/By_the_Light_of_the_Silvery_Moon/By_the_Light_of_the_Silvery_Moon.mxl
1295,Joy to the World,Lowell Mason,Rock,1832,English,dataset/Isaac_Watts-Lowell_Mason/Joy_to_the_World/Joy_to_the_World.mxl
1310,"You Tell Me Your Dream, I'll Tell You Mine",Charles N. Daniels,Pop,1910,English,"dataset/Albert_H._Brown-Charles_N._Daniels-Seymour_Rice/You_Tell_Me_Your_Dream,_I'll_Tell_You_Mine/You_Tell_Me_Your_Dream,_I'll_Tell_You_Mine.mxl"
1331,Blue Moon,Lorenz Hart,Rock,1934,English,dataset/Lorenz_Hart/Blue_Moon/Blue_Moon.mxl
1333,Auld Lang Syne,[Traditional],Pop,,English,dataset/Robert_Burns-[Traditional]/Auld_Lang_Syne/Auld_Lang_Syne.mxl
1344,You're Driving Me Crazy (What Did I Do?),Walter Donaldson,Pop,1920,English,dataset/Walter_Donaldson/You're_Driving_Me_Crazy_(What_Did_I_Do?)/You're_Driving_Me_Crazy_(What_Did_I_Do?).mxl
1346,"Bring a Torch, Jeanette, Isabella",Edward Cuthbert Nunn,Pop,1891,English,"dataset/Edward_Cuthbert_Nunn/Bring_a_Torch,_Jeanette,_Isabella/Bring_a_Torch,_Jeanette,_Isabella.mxl"
1353,M-O-T-H-E-R (A Word That Means the World to Me),Theodore Morse,Pop,1915,English,dataset/Howard_Johnson-Theodore_Morse/M-O-T-H-E-R_(A_Word_That_Means_the_World_to_Me)/M-O-T-H-E-R_(A_Word_That_Means_the_World_to_Me).mxl
1369,I'll Get By (As Long as I Have You),Roy Turk,Pop,1928,English,dataset/Fred_E._Ahlert-Roy_Turk/I'll_Get_By_(As_Long_as_I_Have_You)/I'll_Get_By_(As_Long_as_I_Have_You).mxl
1385,Whispering Grass (Don't Tell the Trees),Fred Fisher,Pop,1940,English,dataset/Doris_Fisher-Fred_Fisher/Whispering_Grass_(Don't_Tell_the_Trees)/Whispering_Grass_(Don't_Tell_the_Trees).mxl
1389,Shenandoah,[Traditional],Pop,,English,dataset/[Traditional]/Shenandoah/Shenandoah.mxl
1433,"On the Banks of the Wabash, Far Away",Paul Dresser,Pop,1881,English,"dataset/Paul_Dresser/On_the_Banks_of_the_Wabash,_Far_Away/On_the_Banks_of_the_Wabash,_Far_Away.mxl"
1479,Thanks a Million,Gus Kahn,Pop,1913,English,dataset/Arthur_Johnston-Gus_Kahn/Thanks_a_Million/Thanks_a_Million.mxl
1493,Winter Wonderland,Felix Bernard,Rock,1934,English,dataset/Dick_Smith-Felix_Bernard/Winter_Wonderland/Winter_Wonderland.mxl
1494,Nevertheless (I'm in Love with You),Bert Kalmar,Pop,1931,English,dataset/Bert_Kalmar-Harry_Ruby/Nevertheless_(I'm_in_Love_with_You)/Nevertheless_(I'm_in_Love_with_You).mxl
1517,In the Garden,Charles Austin Miles,"Folk, World, & Country",1916,English,dataset/Charles_Austin_Miles/In_the_Garden/In_the_Garden.mxl
1522,My Old Dutch,Albert Chevalier,Pop,1892,English,dataset/Albert_Chevalier-Charles_Ingle/My_Old_Dutch/My_Old_Dutch.mxl
1531,There Is a Tavern in the Town,[Traditional],Pop,,English,dataset/[Traditional]/There_Is_a_Tavern_in_the_Town/There_Is_a_Tavern_in_the_Town.mxl
1538,Mimi,Lorenz Hart,Pop,1919,English,dataset/Lorenz_Hart-Richard_Rodgers/Mimi/Mimi.mxl
1563,Wedding Bells Are Breaking up That Old Gang of Mine,Willie Raskin,Rock,1929,English,dataset/Irving_Kahal-Sammy_Fain-Willie_Raskin/Wedding_Bells_Are_Breaking_up_That_Old_Gang_of_Mine/Wedding_Bells_Are_Breaking_up_That_Old_Gang_of_Mine.mxl
1609,The Wild Colonial Boy,[Traditional],"Folk, World, & Country",,English,dataset/[Traditional]/The_Wild_Colonial_Boy/The_Wild_Colonial_Boy.mxl
1624,"Cuddle Up a Little Closer, Lovey Mine",Karl Hoschna,Pop,1908,English,"dataset/Karl_Hoschna-Otto_Harbach/Cuddle_Up_a_Little_Closer,_Lovey_Mine/Cuddle_Up_a_Little_Closer,_Lovey_Mine.mxl"
1646,A Bird in a Gilded Cage,Harry Von Tilzer,Pop,1909,English,dataset/Arthur_Lamb-Harry_Von_Tilzer/A_Bird_in_a_Gilded_Cage/A_Bird_in_a_Gilded_Cage.mxl
1703,Santa Lucia,[Traditional],Pop,,Italian,dataset/[Traditional]/Santa_Lucia/Santa_Lucia.mxl
1733,My Blue Heaven,Walter Donaldson,Rock,1927,English,dataset/George_Whiting-Walter_Donaldson/My_Blue_Heaven/My_Blue_Heaven.mxl
1748,They Can't Take That Away from Me,George Gershwin,Pop,1937,English,dataset/George_Gershwin-Ira_Gershwin/They_Can't_Take_That_Away_from_Me/They_Can't_Take_That_Away_from_Me.mxl
1758,I'll See You in My Dreams,Gus Kahn,Pop,1924,English,dataset/Gus_Kahn-Isham_Jones/I'll_See_You_in_My_Dreams/I'll_See_You_in_My_Dreams.mxl
1784,When Irish Eyes Are Smiling,Ernest Ball,Pop,1913,English,"dataset/Chauncey_Olcott-Ernest_Ball-George_Graff,_Jr./When_Irish_Eyes_Are_Smiling/When_Irish_Eyes_Are_Smiling.mxl"
1799,Happy Birthday to You,Patty Hill,Rock,1907,English,dataset/Mildred_Hill-Patty_Hill/Happy_Birthday_to_You/Happy_Birthday_to_You.mxl
1805,Coquette,Gus Kahn,Rock,1928,English,dataset/Carmen_Lombardo-Gus_Kahn-Johnny_Green/Coquette/Coquette.mxl
1814,La golondrina,Narciso Serradell Sevilla,Pop,,,dataset/Narciso_Serradell_Sevilla/La_golondrina/La_golondrina.mxl
1822,Maria Elena,Lorenzo Barcelata Castro,Pop,1933,Spanish,dataset/Lorenzo_Barcelata_Castro/Maria_Elena/Maria_Elena.mxl
