id,title,artist_name,genre,year,language,path
romani17,"Die verkaufte Muellerin 's waer is a mol ui guet z Obed spot,",Unknown,folk,Unknown,Romanian,folkKern/romania/romani17.krn
romani15,"Die dienende Schwester Es spielt ein Spielgraf an dem Rhein,",Unknown,folk,Unknown,Romanian,folkKern/romania/romani15.krn
romani06,"Das Bauerntoechterlein Es haett is an Bauer ui Annilei',",Unknown,folk,1937,Romanian,folkKern/romania/romani06.krn
romani18,"Die Mordeltern Es war'n einmal zwei Bauernsoehn,",Unknown,folk,1931,Romanian,folkKern/romania/romani18.krn
romani14,Graf Friedrich Es wollt ein Koenig ausreiten,Unknown,folk,1925,Romanian,folkKern/romania/romani14.krn
romani19,"Die verkaufte Muellerin Es wollt ein Mueller frueh aufstehn,",Unknown,folk,1931,Romanian,folkKern/romania/romani19.krn
magyar37,Graf und Nonne (Die Nonne) Ich stand auf hohem Berge,Unknown,folk,1940,Hungarian,folkKern/magyar/magyar37.krn
magyar39,Graf und Nonne (Die Nonne) Egy magas hegy tetejeroel,Unknown,folk,1976,Hungarian,folkKern/magyar/magyar39.krn
magyar32,Die Brombeerpflueckerin Es wollt ein Madel frueh aufstehn.,Unknown,folk,1935,Hungarian,folkKern/magyar/magyar32.krn
magyar29,Der schwatzhafte Junggeselle Es spielen drei Kaufleut auf einen Tisch.,Unknown,folk,1938,Hungarian,folkKern/magyar/magyar29.krn
magyar41,"Graf und Nonne (Die Nonne) Es welken alle Blaetter,",Unknown,folk,1984,Hungarian,folkKern/magyar/magyar41.krn
magyar23,"Die Rabenmutter Vater und Mutter, lebet wohl,",Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar23.krn
magyar13,Die Koenigstochter im Heeresdienst Was wuenschen wir dem Vater zum neuen Jahr?,Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar13.krn
magyar05,Graf Friedrich In Oesterraaich sin di Gassen sou enge,Unknown,folk,1932,Hungarian,folkKern/magyar/magyar05.krn
magyar19,Die Rabenmutter ohne Text,Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar19.krn
magyar03,"Graf und Nonne (Die Nonne) Es welken alle Blaetter,",Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar03.krn
magyar43,Graf und Nonne (Die Nonne) Egy magas hegytetoeroel,Unknown,folk,1981,Hungarian,folkKern/magyar/magyar43.krn
magyar35,Jaeger und Graserin Es wold ain Maettischen wol fruuj aufschtaejen.,Unknown,folk,1932,Hungarian,folkKern/magyar/magyar35.krn
magyar24,"Das hungernde Kind Keljetek fel, pasztorok, pasztorok,",Unknown,folk,1953,Hungarian,folkKern/magyar/magyar24.krn
magyar42,Graf und Nonne (Die Nonne) Steig ich auf das Berglein,Unknown,folk,1985,Hungarian,folkKern/magyar/magyar42.krn
magyar25,Waise und Stiefmutter Ein kleines Maedchen zart,Unknown,folk,1943,Hungarian,folkKern/magyar/magyar25.krn
magyar26,"Waise und Stiefmutter Morgens in aller Frueh',",Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar26.krn
magyar17,"Der heimkehrende Soldat Es kehrt ein Soldat aus dem Kriege zurueck, hurra!",Unknown,folk,1940,Hungarian,folkKern/magyar/magyar17.krn
magyar36,"Graf und Nonne (Die Nonne) Mein Schatz hat ein weiss' Hemet an,",Unknown,folk,1930,Hungarian,folkKern/magyar/magyar36.krn
magyar38,"Graf und Nonne (Die Nonne) Steh ich auf hohe Felsen,",Unknown,folk,1976,Hungarian,folkKern/magyar/magyar38.krn
magyar16,"Der heimkehrende Soldat Soldat zog aus dem Kriege, kuckuck.",Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar16.krn
magyar14,"Die Koenigstochter im Heeresdienst O, jaj nekem Marianak,",Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar14.krn
magyar01,I FAHR AUF DER POST,Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar01.krn
magyar18,"Die Rabenmutter Es wollt' a Halter frueh austrei'n,",Unknown,folk,1958,Hungarian,folkKern/magyar/magyar18.krn
magyar04,Erloesung vom Galgen Es schpuellen drai Khauflaeit bai ainen Disch.,Unknown,folk,1931,Hungarian,folkKern/magyar/magyar04.krn
magyar28,"Der schwatzhafte Junggeselle 's waren einmol drei G'soellein,",Unknown,folk,1959,Hungarian,folkKern/magyar/magyar28.krn
magyar15,Maedchen als Stallknecht Was wuentschen wir's dem Hean,Unknown,folk,1929,Hungarian,folkKern/magyar/magyar15.krn
magyar06,Ritter und Magd Es schlaeft ein Graf bei seiner Magd,Unknown,folk,1935,Hungarian,folkKern/magyar/magyar06.krn
magyar12,Entfuehrung unterm Tanz ohne Text,Unknown,folk,1943,Hungarian,folkKern/magyar/magyar12.krn
magyar30,Der schwatzhafte Junggeselle Khatrina Khatriina tu raine Mogd.,Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar30.krn
magyar08,Ritter und Magd Es spielt' ein Ritter mit seiner Madam,Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar08.krn
magyar44,Graf und Nonne (Die Nonne) Ich stand auf hohen Felsen,Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar44.krn
magyar09,Der grausame Bruder A katona a menyecsket,Unknown,folk,1925,Hungarian,folkKern/magyar/magyar09.krn
magyar07,Ritter und Magd Es schlaeft ein Graf bei seinem Maedel,Unknown,folk,1935,Hungarian,folkKern/magyar/magyar07.krn
magyar33,Graserin und Reiter Es wollt ein Madel grasen gehn,Unknown,folk,1971,Hungarian,folkKern/magyar/magyar33.krn
magyar34,"Jaeger und Graserin Es ging ein Maedchen im gruenen Walde grasen,",Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar34.krn
magyar21,"Die Rabenmutter Es wollt' ein Halter frueh austreiben,",Unknown,folk,1957,Hungarian,folkKern/magyar/magyar21.krn
magyar27,"Maedchen und Hasel 'Guten Morgen, du Nuesselein,",Unknown,folk,1935,Hungarian,folkKern/magyar/magyar27.krn
magyar02,"Graf und Nonne (Die Nonne) ""Mei Schatz, du hast g'sagt, du naehmest mich,",Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar02.krn
magyar11,"Der Vorwirt Es ritt ein Herr ueber den geweihten Kirchhof,",Unknown,folk,1937,Hungarian,folkKern/magyar/magyar11.krn
magyar22,"Die Rabenmutter Es wollt' ein Halter frueh austreiben,",Unknown,folk,1940,Hungarian,folkKern/magyar/magyar22.krn
magyar40,"Graf und Nonne (Die Nonne) Du hast gesagt, du nehmest mich",Unknown,folk,1983,Hungarian,folkKern/magyar/magyar40.krn
magyar20,Die Rabenmutter ohne Text,Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar20.krn
magyar31,"Vater und Tochter 'Kuin Morgen Junkfrau schoeoene',",Unknown,folk,1931,Hungarian,folkKern/magyar/magyar31.krn
magyar10,"Wiedersehen an der Bahre Der Juengling, der in Kampfe zog,",Unknown,folk,1936,Hungarian,folkKern/magyar/magyar10.krn
magyar45,"Graf und Nonne (Die Nonne) Du hast alleweil gsagt, du nimmst mich,",Unknown,folk,Unknown,Hungarian,folkKern/magyar/magyar45.krn
ukrain04,"Tochter als Faehnrich Im Ungarland zu Grosswardein,",Unknown,folk,1963,Ukranian,folkKern/ukraina/ukrain04.krn
ukrain12,"Der schwatzhafte Junggeselle Es waren drei Gesellen,",Unknown,folk,1930,Ukranian,folkKern/ukraina/ukrain12.krn
ukrain03,"Das Maedchen und der Faehnrich Ach Mutter mein, ach Tochter mein,",Unknown,folk,1930,Ukranian,folkKern/ukraina/ukrain03.krn
ukrain07,Die Rabenmutter Es treibt ein Hirt seine Schaf' in' Wald,Unknown,folk,Unknown,Ukranian,folkKern/ukraina/ukrain07.krn
ukrain11,Das Maedchen und der Faehnrich Es war ein reiches Geschlechtelein,Unknown,folk,1929,Ukranian,folkKern/ukraina/ukrain11.krn
ukrain06,"Der heimkehrende Soldat Es reist ein Matrose vom Kriege heim, Kuckuck,",Unknown,folk,1931,Ukranian,folkKern/ukraina/ukrain06.krn
ukrain09,"Die schoene Magdalena Was geschah an einem Montag,",Unknown,folk,1944,Ukranian,folkKern/ukraina/ukrain09.krn
ukrain10,"Das Maedchen und der Faehnrich 'Ach Tochter, liebe Tochter mein,",Unknown,folk,1930,Ukranian,folkKern/ukraina/ukrain10.krn
ukrain08,"Waise und Stiefmutter Es war ein Waislein klein,",Unknown,folk,1943,Ukranian,folkKern/ukraina/ukrain08.krn
ukrain02,"Das Schwabentoechterlein Es hat ein Bauer ein Madl ghabt,",Unknown,folk,1941,Ukranian,folkKern/ukraina/ukrain02.krn
ukrain13,"Verschlafener Jaeger Es wollt ein Jaeger frueh jagen,",Unknown,folk,1942,Ukranian,folkKern/ukraina/ukrain13.krn
ukrain01,Die wiedergefundene Schwester (Suedeli - Ballade) Kyrillischer Text,Unknown,folk,1896,Ukranian,folkKern/ukraina/ukrain01.krn
ukrain05,"Tochter als Faehnrich Der goldene Rosenkranz,",Unknown,folk,1963,Ukranian,folkKern/ukraina/ukrain05.krn
england3,"Die Schlangenkoechin 'What'll ye leave to your mother,",Unknown,folk,1925,English,folkKern/england/england3.krn
england1,God Save Our Lord the King,Unknown,folk,Unknown,English,folkKern/england/england1.krn
england2,"Die Schlangenkoechin 'Oh, where have you been this livelong day,",Unknown,folk,1950,English,folkKern/england/england2.krn
england4,Kornschneiden ohne Text,Unknown,folk,1600,English,folkKern/england/england4.krn
sverig02,"Die Koenigskinder Det voro tva aedla konungabarn,",Unknown,folk,1814,Swedish,folkKern/sverige/sverig02.krn
sverig09,Die Schlangenkoechin 'Hvar har du va't sa laenge?',Unknown,folk,1842,Swedish,folkKern/sverige/sverig09.krn
sverig08,Schoen Adelheid Ohne Text,Unknown,folk,1934,Swedish,folkKern/sverige/sverig08.krn
sverig11,"Graf und Nonne (Die Nonne) Det var tva sata vaenner,",Unknown,folk,1818,Swedish,folkKern/sverige/sverig11.krn
sverig10,"Der grausame Bruder Herr Ake han rider pa sin kaera moders gard' uti rymden,",Unknown,folk,1883,Swedish,folkKern/sverige/sverig10.krn
sverig05,Der grausame Bruder Konung och Drottning de talades vid under lide',Unknown,folk,Unknown,Swedish,folkKern/sverige/sverig05.krn
sverig07,"Schoen Adelheid Skoen Anna hon kasta en halver gullring,",Unknown,folk,1934,Swedish,folkKern/sverige/sverig07.krn
sverig03,"Die Koenigstochter Om alla berg och dalar de voro utaf gull,",Unknown,folk,1814,Swedish,folkKern/sverige/sverig03.krn
sverig04,Jungfer Doertchen Herr Malmsten han droemde en droem om en natt.,Unknown,folk,1880,Swedish,folkKern/sverige/sverig04.krn
sverig01,"Der heimkehrende Soldat Husaren kom ater fran kriget och hem, Hurra!",Unknown,folk,1903,Swedish,folkKern/sverige/sverig01.krn
sverig06,Schoen Adelheid Unga bruden kastade en halver gullring.,Unknown,folk,1934,Swedish,folkKern/sverige/sverig06.krn
oestr092,AM BLAU UND WEISSEN BANDE,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr092.krn
oestr055,"""Der Vogler"" GRUESS DICH GOD MAI LIABI REGERL",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr055.krn
oestr002,WENN DER SCHNEE VON DER ALMA WEGGAGEHT,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr002.krn
oestr039,"""Rechter Geschmack"" MADL MAGST ANN ROSOLI",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr039.krn
oestr080,Der heimkehrende Braeutigam Wie bald hab' ich geendet,Unknown,folk,1956,German,folkKern/oesterrh/oestr080.krn
oestr082,"Koenig von Mailand Merkt fleissig auf, ihr Christenleut,",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr082.krn
oestr037,"""Lilliput"" KLOAN BIN I KLOAN BLAIB I",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr037.krn
