id,title,artist_name,genre,year,language,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity
elsass44,NUR LUSTIG IHR BRUEDER,Unknown,folk,Unknown,French,folkKern/elsass/elsass44.krn,No Lyrics,1.8611111111111112,67,36.0,0.5303030303030303,0.1539575866128908,14.545454545454545,3.1818181818181817,22,0.3283582089552239
elsass50,REDLICH IST DAS DEUTSCHE LEBEN,Unknown,folk,Unknown,French,folkKern/elsass/elsass50.krn,No Lyrics,1.03125,33,32.0,0.9375,0.480071609241788,45.6845238095238,14.0,20,0.6060606060606061
elsass51,WER BEKUEMMERT SICH,Unknown,folk,Unknown,French,folkKern/elsass/elsass51.krn,No Lyrics,2.3529411764705883,40,17.0,0.3974358974358974,0.23830295250565517,33.601953601953596,3.076923076923077,22,0.55
elsass32,AUF DEM BERGE WACHSEN REBEN,Unknown,folk,Unknown,French,folkKern/elsass/elsass32.krn,No Lyrics,1.6590909090909092,73,44.0,0.5972222222222222,0.26534684964642785,13.915343915343918,1.7916666666666665,33,0.4520547945205479
elsass77,DER LUNZI KUMMT,Unknown,folk,Unknown,French,folkKern/elsass/elsass77.krn,No Lyrics,1.6875,27,16.0,0.5961538461538461,0.22010621427422303,33.846153846153854,2.980769230769231,15,0.5555555555555556
elsass04,ES WAR EINMAL EINE KOENIGIN,Unknown,folk,Unknown,French,folkKern/elsass/elsass04.krn,No Lyrics,0.84375,27,32.0,1.1153846153846154,0.576923076923077,34.32234432234432,7.0,17,0.6296296296296297
elsass05,ICH STEH AUF EINEM HOHEN BERG,Unknown,folk,Unknown,French,folkKern/elsass/elsass05.krn,No Lyrics,1.4333333333333333,43,30.0,0.6547619047619048,0.35335290665847213,27.619047619047613,1.2857142857142858,19,0.4418604651162791
elsass48,WAS WOLLEN DIE HAUSAREN ESSEN,Unknown,folk,Unknown,French,folkKern/elsass/elsass48.krn,No Lyrics,1.375,55,40.0,0.7129629629629629,0.40083075596135864,19.682539682539684,2.0277777777777777,28,0.509090909090909
elsass68,DER MEISCHTER SCHICKT DER JOCKELE,Unknown,folk,Unknown,French,folkKern/elsass/elsass68.krn,No Lyrics,1.6,32,20.0,0.6290322580645161,0.410894812995387,33.97849462365591,4.403225806451613,17,0.53125
elsass84,JUENGST IN DEM VERFLOSSNEN JAHR,Unknown,folk,Unknown,French,folkKern/elsass/elsass84.krn,No Lyrics,0.9583333333333334,46,48.0,0.9777777777777777,0.7261432025553113,24.634920634920633,5.2,29,0.6304347826086957
elsass59,DIE REISE NACH SUEDLAND,Unknown,folk,Unknown,French,folkKern/elsass/elsass59.krn,No Lyrics,1.1388888888888888,41,36.0,0.85,0.4358898943540672,21.809523809523814,3.4,20,0.4878048780487805
elsass71,NINA BUBBAEIAE SCHLOF,Unknown,folk,Unknown,French,folkKern/elsass/elsass71.krn,No Lyrics,1.125,27,24.0,0.8653846153846154,0.38123514618459625,23.07692307692308,4.230769230769231,16,0.5925925925925926
elsass55,O REGIMENT MEIN VATERLAND,Unknown,folk,Unknown,French,folkKern/elsass/elsass55.krn,No Lyrics,1.3333333333333333,48,36.0,0.7127659574468085,0.47540219088307073,24.92217002855301,1.4042553191489362,24,0.5
elsass53,D REKRUTE SIN BRAVI SOLDATE,Unknown,folk,Unknown,French,folkKern/elsass/elsass53.krn,No Lyrics,1.4583333333333333,35,24.0,0.6323529411764706,0.4254551806320423,37.77183600713011,3.7058823529411766,19,0.5428571428571428
elsass12,HIER STEHEN WIR AUF UNSERN KRUECKEN,Unknown,folk,Unknown,French,folkKern/elsass/elsass12.krn,No Lyrics,1.2708333333333333,61,48.0,0.7583333333333333,0.4329325069286844,27.809523809523807,2.8333333333333335,28,0.45901639344262296
elsass57,LEBE WOHL ES NAHT DIE STUNDE,Unknown,folk,Unknown,French,folkKern/elsass/elsass57.krn,No Lyrics,1.1041666666666667,53,48.0,0.8846153846153846,0.5600084530215784,25.36463536463536,1.6538461538461537,29,0.5471698113207547
elsass40,SUF[ERK3RUT IM HAEFELE,Unknown,folk,Unknown,French,folkKern/elsass/elsass40.krn,No Lyrics,1.8333333333333333,22,12.0,0.5,0.1336306209562122,24.126984126984127,,12,0.5454545454545454
elsass06,IN DES GARTENS DUNKLER LAUBE,Unknown,folk,Unknown,French,folkKern/elsass/elsass06.krn,No Lyrics,1.4166666666666667,34,24.0,0.6666666666666666,0.34633725608068067,26.320346320346324,2.5454545454545454,19,0.5588235294117647
elsass22,HERZIGS MARIANDEL,Unknown,folk,Unknown,French,folkKern/elsass/elsass22.krn,No Lyrics,0.9166666666666666,44,48.0,1.0465116279069768,0.6082184572382335,24.27464008859357,10.744186046511627,19,0.4318181818181818
elsass89,AN EINEM FLUSS DER RAUSCHEND SCHOSS,Unknown,folk,Unknown,French,folkKern/elsass/elsass89.krn,No Lyrics,0.9375,30,32.0,1.0,0.4913036844405175,17.602627257799675,3.793103448275862,18,0.6
elsass08,ES WOHNT EIN PFALZGRAF AN DEM RHEIN,Unknown,folk,Unknown,French,folkKern/elsass/elsass08.krn,No Lyrics,0.8571428571428571,24,28.0,1.0869565217391304,0.2817713347133852,11.594202898550723,,8,0.3333333333333333
elsass07,ES WAR EINMAL EIN MUELLERIN,Unknown,folk,Unknown,French,folkKern/elsass/elsass07.krn,No Lyrics,1.875,45,24.0,0.5113636363636364,0.19910699395380949,15.541125541125542,2.0,20,0.4444444444444444
elsass11,IN DER STADT HAGENAU GENANNT,Unknown,folk,Unknown,French,folkKern/elsass/elsass11.krn,No Lyrics,1.3333333333333333,32,24.0,0.7258064516129032,0.4181123031230878,14.40860215053763,2.7096774193548385,16,0.5
elsass41,DREI LEDRIGE STRUEMPF,Unknown,folk,Unknown,French,folkKern/elsass/elsass41.krn,No Lyrics,1.875,45,24.0,0.5340909090909091,0.18146272071217398,21.21212121212121,3.7386363636363633,19,0.4222222222222222
elsass45,DIE HEILGEN DREI KOENIG,Unknown,folk,Unknown,French,folkKern/elsass/elsass45.krn,No Lyrics,1.75,21,12.0,0.55,0.15,19.999999999999996,,10,0.47619047619047616
elsass35,DER SCHEFFER VON NUWEN STAT,Unknown,folk,Unknown,French,folkKern/elsass/elsass35.krn,No Lyrics,0.75,54,72.0,1.320754716981132,0.6376130282534264,24.690026954177895,2.641509433962264,26,0.48148148148148145
elsass14,KAISER DER NAPOLEON,Unknown,folk,Unknown,French,folkKern/elsass/elsass14.krn,No Lyrics,1.6875,27,16.0,0.5769230769230769,0.2167197628766278,33.479853479853475,1.1538461538461537,14,0.5185185185185185
elsass83,MIR IST HALT NIE SO WOHL ZU MUTH,Unknown,folk,Unknown,French,folkKern/elsass/elsass83.krn,No Lyrics,1.4375,69,48.0,0.6691176470588235,0.39398318601820026,27.647058823529413,1.2794117647058822,29,0.42028985507246375
elsass64,ES KAM EIN FREMDER SCHLEIFER,Unknown,folk,Unknown,French,folkKern/elsass/elsass64.krn,No Lyrics,1.25,40,32.0,0.782051282051282,0.3929649262562591,33.55311355311354,2.230769230769231,21,0.525
elsass69,SCHWAEFELHOLZE,Unknown,folk,Unknown,French,folkKern/elsass/elsass69.krn,No Lyrics,1.875,90,48.0,0.5168539325842697,0.2590978102831507,11.235955056179773,2.4719101123595504,31,0.34444444444444444
elsass29,LEBEWOHL DU DIE ICH EWIG LIEBE,Unknown,folk,Unknown,French,folkKern/elsass/elsass29.krn,No Lyrics,1.28125,41,32.0,0.725,0.49623583103198027,23.80952380952381,1.35,22,0.5365853658536586
elsass60,ES GIENG EINMAL BEI MONDENSCHEIN,Unknown,folk,Unknown,French,folkKern/elsass/elsass60.krn,No Lyrics,1.1875,57,48.0,0.8125,0.46830335864083417,12.73809523809524,1.5178571428571428,20,0.3508771929824561
elsass26,ES DUNKELT IN DEM WALDE,Unknown,folk,Unknown,French,folkKern/elsass/elsass26.krn,No Lyrics,1.7777777777777777,32,18.0,0.532258064516129,0.27490420240418256,28.17204301075269,1.032258064516129,18,0.5625
elsass46,SALVAI GLORIAI,Unknown,folk,Unknown,French,folkKern/elsass/elsass46.krn,No Lyrics,1.5192307692307692,79,52.0,0.6410256410256411,0.3090248921331781,16.97191697191697,1.8076923076923075,35,0.4430379746835443
elsass67,JUNGFER LIESCHEN SCHLIEF DA DROBEN,Unknown,folk,Unknown,French,folkKern/elsass/elsass67.krn,No Lyrics,1.1666666666666667,28,24.0,0.8148148148148148,0.33742346589423317,39.012345679012334,2.444444444444444,16,0.5714285714285714
elsass65,HANS IM SCHNOCKELOCH,Unknown,folk,Unknown,French,folkKern/elsass/elsass65.krn,No Lyrics,1.625,39,24.0,0.5789473684210527,0.30405842127082483,13.88471177944862,1.618421052631579,20,0.5128205128205128
elsass52,NICHT WEIT VON WUERTEMBERG,Unknown,folk,Unknown,French,folkKern/elsass/elsass52.krn,No Lyrics,1.2166666666666666,73,60.0,0.7916666666666666,0.5994789404140896,21.097883597883595,2.861111111111111,29,0.3972602739726027
elsass79,UND VON BERGEN RINGS UMGEBEN,Unknown,folk,Unknown,French,folkKern/elsass/elsass79.krn,No Lyrics,1.4285714285714286,60,42.0,0.6779661016949152,0.3415159606713543,23.26803140362462,5.288135593220339,29,0.48333333333333334
elsass56,MIT JAMMERVOLLEN BLICKEN,Unknown,folk,Unknown,French,folkKern/elsass/elsass56.krn,No Lyrics,1.4444444444444444,52,36.0,0.6568627450980392,0.4482011549279394,24.873949579831926,1.7058823529411764,22,0.4230769230769231
elsass17,SCHOENSTER SCHATZ AUF DIESER ERDE,Unknown,folk,Unknown,French,folkKern/elsass/elsass17.krn,No Lyrics,1.2083333333333333,58,48.0,0.8070175438596491,0.41627405325279554,32.865497076023395,2.3684210526315788,29,0.5
elsass21,WER LIEBEN WILL MUSS LEIDEN,Unknown,folk,Unknown,French,folkKern/elsass/elsass21.krn,No Lyrics,0.6666666666666666,48,72.0,1.4893617021276595,0.9972801400219545,19.858156028368793,2.4680851063829787,22,0.4583333333333333
elsass38,SISCH NOCH NIT LANG,Unknown,folk,Unknown,French,folkKern/elsass/elsass38.krn,No Lyrics,1.9666666666666666,59,30.0,0.49137931034482757,0.17348803273705274,19.540229885057467,8.206896551724139,20,0.3389830508474576
elsass16,DIE FRANZOSEN ZOGEN EIN,Unknown,folk,Unknown,French,folkKern/elsass/elsass16.krn,No Lyrics,1.0,36,36.0,0.9714285714285714,0.4130523512800273,42.28571428571427,2.914285714285714,18,0.5
elsass78,WO EIN ALTAR STEHT DEN DER LENZ BEKRAENZT,Unknown,folk,Unknown,French,folkKern/elsass/elsass78.krn,No Lyrics,0.8125,78,96.0,1.1948051948051948,0.7901826361130521,30.315398886827463,3.3896103896103895,40,0.5128205128205128
elsass02,ES LIEGT EIN SCHLOESSCHEN IN OESTERREICH,Unknown,folk,Unknown,French,folkKern/elsass/elsass02.krn,No Lyrics,1.5,45,30.0,0.6477272727272727,0.3256033814066909,29.177489177489168,2.409090909090909,22,0.4888888888888889
elsass34,Z NACHT WENN DER MOND SCHEINT,Unknown,folk,Unknown,French,folkKern/elsass/elsass34.krn,No Lyrics,1.625,52,32.0,0.6078431372549019,0.25845933973458957,36.63865546218488,1.8235294117647056,27,0.5192307692307693
elsass72,RITI RITI RESSLAE,Unknown,folk,Unknown,French,folkKern/elsass/elsass72.krn,No Lyrics,1.5357142857142858,43,28.0,0.6190476190476191,0.2847204938833667,44.76190476190476,3.0952380952380953,21,0.4883720930232558
elsass70,DIE GEDANKEN SIND FREEI,Unknown,folk,Unknown,French,folkKern/elsass/elsass70.krn,No Lyrics,1.0277777777777777,74,72.0,0.958904109589041,0.386000076811106,21.748206131767766,3.835616438356164,29,0.3918918918918919
elsass18,ICH UND MEIN ALLERLIEBSTER HANS,Unknown,folk,Unknown,French,folkKern/elsass/elsass18.krn,No Lyrics,1.4791666666666667,71,48.0,0.6642857142857143,0.34817307448439827,11.61904761904762,2.4285714285714284,25,0.352112676056338
elsass82,AUS DEINEN BLAUEN AUGEN STRAHLET LIEBE,Unknown,folk,Unknown,French,folkKern/elsass/elsass82.krn,No Lyrics,1.4375,69,48.0,0.6691176470588235,0.3699194478854488,13.92156862745098,2.4705882352941178,24,0.34782608695652173
elsass09,ES FUHR EIN FUHRKNECHT UEBERN RHEIN,Unknown,folk,Unknown,French,folkKern/elsass/elsass09.krn,No Lyrics,1.4166666666666667,34,24.0,0.6818181818181818,0.24052284646041724,28.28282828282828,,15,0.4411764705882353
elsass42,SECHS BUCKEL HEUT HAWE TANZT,Unknown,folk,Unknown,French,folkKern/elsass/elsass42.krn,No Lyrics,2.75,66,24.0,0.35384615384615387,0.23976072885398,24.96703296703296,2.476923076923077,25,0.3787878787878788
elsass10,ES FUHR EIN FUHRKNECHT UEBERN RHEIN,Unknown,folk,Unknown,French,folkKern/elsass/elsass10.krn,No Lyrics,1.4545454545454546,32,22.0,0.6935483870967742,0.2435430462990565,25.806451612903224,,14,0.4375
