id,title,artist_name,genres,year,language,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity
10136,when the saints go marching in,Misc Traditional,folk,,,/mxl/2/44/QmctGvSQamBSkDQSVa7a8TPCBNSmds4Rxcom3qgVUsCNqM.mxl,English,0.484375,31.0,64.0,1.2826086956521738,1.1356485118790416,41.33333333333333,3.521739130434783,18.0,0.5806451612903226
10137,Feel Good Inc.,Gorillaz,pop,,,/mxl/2/5/Qmc6ER8uVQDGFj1BjzaHsoL5SE8n5LHucBFQ7hc6899KwX.mxl,English,0.96,480.0,500.0,1.0292275574112735,4.343567416329673,14.990470017208068,5.477035490605428,86.0,0.17916666666666667
10138,PriecÄga mums ir šÄ diena (WesoÅy nam dziÅ dzieÅ nastaÅ),Misc Traditional,folk,,,/mxl/2/44/QmctEudD7xoaMQk9WJHz1R5ofynt86aZiawHzQq5BnkR38.mxl,Latvian,2.15,86.0,40.0,0.4470588235294118,0.45389509938495115,17.42222222222222,2.7529411764705882,29.0,0.3372093023255814
10139,O Hasten and Join With Your Voices,Misc Traditional,folk,,,/mxl/2/44/QmctFy3ZpRgsaRBVaTYAGPY2F8Qsr1jDsMBBjn6apmEndm.mxl,English,1.140625,73.0,64.0,0.8472222222222222,0.5504978106279557,29.44444444444445,2.3333333333333335,28.0,0.3835616438356164
10140,All the brewers tell us lager-beer's a food (Herbert),Misc Traditional,folk,,,/mxl/2/29/QmcKfxh5hbthwaCQLXDMKic3s9CqvrhHE1rxqC9RamavaB.mxl,English,3.125,75.0,24.0,0.28378378378378377,0.42776194030660597,20.690690690690694,5.54054054054054,25.0,0.3333333333333333
10141,how to save a life,The Fray,rock,,,/mxl/2/29/QmcKHyi8SYnqyoi4aUZ3SvW8nvD3Y8VUQXW6KsGvzimq2J.mxl,English,0.3425196850393701,174.0,508.0,1.4248704663212435,5.033648756307284,20.266277230132616,2.704663212435233,66.0,0.3793103448275862
10142,pompeii,Bastille,rock,,,/mxl/2/29/QmcKGXZEv8buR6QEUtHjZRhAgs86yYvbZ729crCxpPLnjY.mxl,English,0.9714285714285714,272.0,280.0,0.9446494464944649,2.135877622101898,23.537686825771246,2.1199261992619927,95.0,0.3492647058823529
10143,Fanfan Sofiyae,Misc Traditional,folk,,,/mxl/2/46/QmcuHgWTV32CYCBoejZBbCn7k11bSzfvPsgQHRUdyBZocN.mxl,Spanish,0.8020833333333334,77.0,96.0,1.1973684210526316,2.1276360544170627,27.33134920634927,2.526315789473684,34.0,0.44155844155844154
10144,Bort Alt Vad Oro Gör,Carl Michael Bellman,folk,,,/mxl/2/46/QmcuS9RsfTP77xpbEWmeZQiL7EWRVwjnVaBJhewauTCVCr.mxl,Swedish,1.0166666666666666,122.0,120.0,0.9669421487603306,0.48844303655494886,20.670345391375424,5.75206611570248,42.0,0.3442622950819672
10145,The Salutation Carol,Misc Traditional,folk,,,/mxl/2/46/QmcubnDvwcyqjsQeAC7hvhq8xJ6CGjvGN3Q6ks1xUCnHMG.mxl,English,1.4090909090909092,93.0,66.0,0.7065217391304348,0.2673559538314964,17.14285714285714,1.4076086956521738,30.0,0.3225806451612903
