id,title,common_name,genre,year,language,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity
0,Just a Closer Walk with Thee,[Traditional],Rock,,English,dataset/[Traditional]/Just_a_Closer_Walk_with_Thee/Just_a_Closer_Walk_with_Thee.mxl,English,1.0520833333333333,202,192.0,0.704119850187266,0.8438485676420794,40.271657585090466,1.408239700374532,62,0.3069306930693069
12,When You Were Sweet Sixteen,James Thornton,"Folk, World, & Country",1899.0,English,dataset/James_Thornton/When_You_Were_Sweet_Sixteen/When_You_Were_Sweet_Sixteen.mxl,English,1.2808988764044944,57,44.5,0.5547945205479454,0.6968371656303683,34.50680272108843,1.0547945205479456,21,0.3684210526315789
59,About a Quarter to Nine,Al Dubin,Rock,1935.0,English,dataset/Al_Dubin-Harry_Warren/About_a_Quarter_to_Nine/About_a_Quarter_to_Nine.mxl,English,0.8846153846153846,92,104.0,0.7698412698412699,0.9121116126068981,39.75928833071689,1.4444444444444444,41,0.44565217391304346
69,We Wish You a Merry Christmas,[Traditional],Pop,,English,dataset/[Traditional]/We_Wish_You_a_Merry_Christmas/We_Wish_You_a_Merry_Christmas.mxl,English,1.1388888888888888,82,72.0,0.6481481481481481,0.48237097324559625,30.28806584362141,2.5925925925925926,31,0.3780487804878049
96,Zing! Went the Strings of My Heart,James Hanley,Rock,1934.0,English,dataset/James_Hanley/Zing!_Went_the_Strings_of_My_Heart/Zing!_Went_the_Strings_of_My_Heart.mxl,English,0.7407407407407407,80,108.0,0.7681159420289855,0.891098126255138,30.006027727546726,2.0652173913043477,33,0.4125
104,I Don't Know Why (I Just Do),Roy Turk,Pop,1931.0,English,dataset/Fred_E._Ahlert-Roy_Turk/I_Don't_Know_Why_(I_Just_Do)/I_Don't_Know_Why_(I_Just_Do).mxl,English,1.28,128,100.0,0.5581395348837209,0.6352924827743126,32.94838145231842,1.6133720930232558,48,0.375
112,Scotland the Brave,[Traditional],"Folk, World, & Country",,,dataset/[Traditional]/Scotland_the_Brave/Scotland_the_Brave.mxl,English,1.5375,123,80.0,0.5342465753424658,0.37314625950345853,12.677595628415297,1.0684931506849316,35,0.2845528455284553
127,The One I Love Belongs to Somebody Else,Gus Kahn,Pop,1923.0,English,dataset/Gus_Kahn-Isham_Jones/The_One_I_Love_Belongs_to_Somebody_Else/The_One_I_Love_Belongs_to_Somebody_Else.mxl,English,0.8257575757575758,109,132.0,0.8561643835616438,0.9739042035208478,40.21324354657685,2.3630136986301373,42,0.3853211009174312
157,America the Beautiful,Katharine Lee Bates,Rock,1894.0,English,dataset/Katharine_Lee_Bates/America_the_Beautiful/America_the_Beautiful.mxl,English,0.9384615384615385,61,65.0,0.5871559633027523,0.6089697899183882,12.809523809523814,1.1743119266055047,25,0.4098360655737705
170,Liza (All the Clouds'll Roll Away),Gus Kahn,Pop,1929.0,English,dataset/George_Gershwin-Gus_Kahn-Ira_Gershwin/Liza_(All_the_Clouds'll_Roll_Away)/Liza_(All_the_Clouds'll_Roll_Away).mxl,English,0.75,153,204.0,0.7490636704119851,0.948213905286295,34.786967418546325,1.4269662921348314,69,0.45098039215686275
