id,title,artist_name,genres,year,language,path
10591,tumbalalaika,Misc Traditional,folk,,,/mxl/3/54/Qmdy2TRf52MZF81F3X4h5AujLCr3qmSpemVCxD6RNeJdDi.mxl
10592,st james infirmary,Misc Traditional,folk,,,/mxl/3/54/Qmdyj1mGLEBPPF13XMNXh6Z3ntb3vSMRK3hrbmSw3Bk6gs.mxl
10593,balang araw,I Belong to the Zoo,folk,,,/mxl/3/54/QmdyQZxjMAGTAnYnMFJVP32nPE4M4WQgizPGUCtFjoVMGA.mxl
10594,bellyache,Billie Eilish,pop,,,/mxl/3/28/QmdkdxTzGvbo9WJrFmV6k5vLAzjEPuc5G8oyTZeYxFLByC.mxl
10595,Awake Ye Drowsy Mortals All,Misc Traditional,folk,,,/mxl/3/28/Qmdkof3es3v98t546tER7wXN3uRXiA5ZqzGh8H2kxdatRj.mxl
10596,Mary Had A Baby,Misc Traditional,folk,,,/mxl/3/25/QmdiGaHFNwDPzWkcUdnwDwmcHo6i2tAbvEN27HUJBTcJB9.mxl
10597,Je chante avec toi Liberté (Nabucco),Nana Mouskouri,pop,,,/mxl/3/25/QmdijhQpyDHmFPqbHDvuC7C8BJMUcAjF3UsQ2HJWr5oMfZ.mxl
10598,hello,Adele,pop,,,/mxl/3/25/QmdiBTLzhyVZNby6ohhBHhx3itTzZs3SqqMAiqEu9ANpA3.mxl
10599,i have friends in holy spaces,Panic! At the Disco,rock,,,/mxl/3/25/QmdiKW5kvrUmha9isodHE7Cz4fqiJ1sMRJfUYXyAgg9EgE.mxl
10600,Ainglean chuala sinn gu h-àrd,Misc Traditional,folk,,,/mxl/3/25/QmdicQ7gjSLDzqjo9DdmWCMEbyaTCWeCAtTWJ98eFBAVFC.mxl
10601,Mary Did You Know?,Pentatonix,pop,,,/mxl/3/55/QmdYuhjh7G4NBhGqtj54Bm3ekF7c6hzWZyW9ypAWz7fvXC.mxl
10602,Go Tell Aunt Rhodie,Misc Traditional,folk,,,/mxl/3/55/QmdYgkXCvJ4BcayF5d2JfqFW1KFK125tazHrqvfpYEbUAa.mxl
10603,Streets of Laredo,Misc Traditional,folk,,,/mxl/3/55/QmdYu28KqzPN9Kwh76C5zhagZ3dXHd3Wt32Enmi95y4MzH.mxl
10604,Come All You Worthy Gentlemen,Misc Traditional,folk,,,/mxl/3/55/QmdY5wm13nKkqcJ7QVjwzCTuGkXJMgR7H39zkSwLKVbjHC.mxl
10605,Sinjoro Dio kiam mi miregas,Misc Traditional,folk,,,/mxl/3/36/QmdpqiHArRQAMWFvFkCG2dFgJqWU82RYWqd12MyShBcMy1.mxl
10606,creep,Radiohead,rock,,,/mxl/3/43/QmdS66pdGrFFbsEN9vvBQcDvaEyJx8vABqtuMCRi77aSpm.mxl
10607,rocky road to dublin,Misc Traditional,folk,,,/mxl/3/43/QmdSuvWBrzxvduiKyrBrqMLhKYqwwDuAe8qM4mUejPpUTC.mxl
10608,Mary Had A Baby,Misc Traditional,folk,,,/mxl/3/18/QmdEjR2uArW8VUp6na9R6DKVJ9zPKB83JC86m53n9NE9gr.mxl
10609,O Love How Deep How Broad How High,Misc Traditional,folk,,,/mxl/3/31/QmdmkmCbWWzJkugJZzcCQeXuvBf4iXh5bePk6LwJ6aiiXT.mxl
10610,O How Lovely Is The Evening,Misc Traditional,folk,,,/mxl/3/31/QmdmoLTxvjS1uM58QTMdKe8Qj7yUttjNfkHbSiQ5ZGufcS.mxl
10611,bruxelles,Jacques Brel,pop,,,/mxl/3/31/QmdmxKuwxmhXwtG3KnJvzyJy2tfDNdcTgmErxaorRviayN.mxl
10612,The Heavenly Home,Misc Traditional,folk,,,/mxl/3/31/Qmdm1fNwMLMS7djFZrnUzP7VBhomdtYSH7GxtExDw3Mk9m.mxl
10613,yes or yes,TWICE,pop,,,/mxl/3/52/QmdxrtBG4CrvA7KRqF6AEVNpzzxpd2P7J1Gb36w6e18op7.mxl
10614,chante,Michel Fugain,pop,,,/mxl/3/8/Qmd9Ys6TxBktB7rRYWrHq7aP6jj5HPpNtk3f5EjxCjhKP5.mxl
10615,O Praise Ye the Lord,Misc Traditional,folk,,,/mxl/3/8/Qmd91wJYWZymyKTCeTgBBnQBjqezNbM2wHxreGwLQsYs6X.mxl
10616,Sweet Was The Song The Virgin Sung,Misc Traditional,folk,,,/mxl/3/8/Qmd9PcY5QutCL4U1Xj94nmhDLWa3GvZUqfCRbR1fogetC8.mxl
10617,Faithful People,Misc Traditional,folk,,,/mxl/3/50/Qmdwmc44YBAoJfebEjKnN1TAvL7ZsQac1NPueZdKWrbS9Z.mxl
10618,Tshotsholoza s'timela,Misc Traditional,folk,,,/mxl/3/50/QmdwDLTCrDeFQGFQQnmhN8TcdjHXJqxBDF8Xs2SirYco3h.mxl
10619,je naurai pas le temps,Michel Fugain,pop,,,/mxl/3/50/QmdwskJz4y4nBBfVPmxj3DXQbNVNvV6tRqKF6MPsY25Y6d.mxl
10620,Wassail Song,Misc Traditional,folk,,,/mxl/3/50/QmdwPRfPc4vUcQe7DVBZYdSQWzTb1gA3QjT5eob3NdtBHy.mxl
10621,Gaudete! Gaudete! Christus est natus,Misc Traditional,folk,,,/mxl/3/42/QmdsczXLFnxt1MWYrX5rcpqgyaydMFm5FSeVpFMvBTnHjV.mxl
10622,Remember The Poor,Misc Traditional,folk,,,/mxl/3/42/QmdsjmtpEzWrf28iEWRDGmHrjsMEmMSzhkVamUfGYRBnAV.mxl
10623,der mond ist aufgegangen,Misc Traditional,folk,,,/mxl/3/42/Qmds7JQE5mfLEhtcYMhfR9UEQJRMsSn4uSnLxnCJrT2Xij.mxl
10624,Jesus Christ Is Born Today,Misc Traditional,folk,,,/mxl/3/42/QmdsCKGroDAnSG6ZDgMmzXy5pJnDeWLZagiChzuQd9DmJp.mxl
10625,The King,Misc Traditional,folk,,,/mxl/3/42/QmdsCV5bsqEVkKzfzeoV8JvjU8g1s9Snu6JipmHnfYdybU.mxl
10626,Vexilla Regis Prodeunt (34665),Misc Traditional,folk,,,/mxl/3/42/QmdswJjW21DYN6dkEJN3Ynis6oJL1KRYvUXkPLzDYxst9x.mxl
10627,Samba Batucada Breaks,Misc Traditional,folk,,,/mxl/3/47/QmdUrpW6GYpoTGEbnmhXoHtaED4TQxiRNWEZujUHY5XZuG.mxl
